SPX Index,,,MXEM US Equity,,,MXWD US Equity,,,MXJP US Equity,,,MXEA US Equity,,,MXEU US Equity,,,MXASJ US Equity,,,RTY US Equity,
Date,SPX Index - TRND,,Date,MXEM Index - TRND,,Date,MXWD Index - TRND,,Date,MXJP Index - TRND,,Date,MXEA Index - TRND,,Date,MXEU Index - TRND,,Date,MXASJ Index - TRND,,Date,RTY Index - TRND
10/31/72,111.58,,,,,,,,,,,,,,,,,,,,,
11/30/72,116.67,,,,,,,,,,,,,,,,,,,,,
12/29/72,118.05,,,,,,,,,,,,,,,,,,,,,
1/31/73,116.03,,,,,,,,,,,,,,,,,,,,,
2/28/73,111.68,,,,,,,,,,,,,,,,,,,,,
3/30/73,111.52,,,,,,,,,,,,,,,,,,,,,
4/30/73,106.97,,,,,,,,,,,,,,,,,,,,,
5/31/73,104.95,,,,,,,,,,,,,,,,,,,,,
6/29/73,104.26,,,,,,,,,,,,,,,,,,,,,
7/31/73,108.22,,,,,,,,,,,,,,,,,,,,,
8/31/73,104.25,,,,,,,,,,,,,,,,,,,,,
9/28/73,108.43,,,,,,,,,,,,,,,,,,,,,
10/31/73,108.29,,,,,,,,,,,,,,,,,,,,,
11/30/73,95.96,,,,,,,,,,,,,,,,,,,,,
12/31/73,97.55,,,,,,,,,,,,,,,,,,,,,
1/31/74,96.57,,,,,,,,,,,,,,,,,,,,,
2/28/74,96.22,,,,,,,,,,,,,,,,,,,,,
3/29/74,93.98,,,,,,,,,,,,,,,,,,,,,
4/30/74,90.31,,,,,,,,,,,,,,,,,,,,,
5/31/74,87.28,,,,,,,,,,,,,,,,,,,,,
6/28/74,86,,,,,,,,,,,,,,,,,,,,,
7/31/74,79.31,,,,,,,,,,,,,,,,,,,,,
8/30/74,72.15,,,,,,,,,,,,,,,,,,,,,
9/30/74,63.54,,,,,,,,,,,,,,,,,,,,,
10/31/74,73.9,,,,,,,,,,,,,,,,,,,,,
11/29/74,69.97,,,,,,,,,,,,,,,,,,,,,
12/31/74,68.56,,,,,,,,,,,,,,,,,,,,,
1/31/75,76.98,,,,,,,,,,,,,,,,,,,,,
2/28/75,81.59,,,,,,,,,,,,,,,,,,,,,
3/31/75,83.36,,,,,,,,,,,,,,,,,,,,,
4/30/75,87.3,,,,,,,,,,,,,,,,,,,,,
5/30/75,91.15,,,,,,,,,,,,,,,,,,,,,
6/30/75,95.19,,,,,,,,,,,,,,,,,,,,,
7/31/75,88.75,,,,,,,,,,,,,,,,,,,,,
8/29/75,86.88,,,,,,,,,,,,,,,,,,,,,
9/30/75,83.87,,,,,,,,,,,,,,,,,,,,,
10/31/75,89.04,,,,,,,,,,,,,,,,,,,,,
11/28/75,91.24,,,,,,,,,,,,,,,,,,,,,
12/31/75,90.19,,,,,,,,,,,,,,,,,,,,,
1/30/76,100.86,,,,,,,,,,,,,,,,,,,,,
2/27/76,99.71,,,,,,,,,,,,,,,,,,,,,
3/31/76,102.77,,,,,,,,,,,,,,,,,,,,,
4/30/76,101.64,,,,,,,,,,,,,,,,,,,,,
5/31/76,100.18,,,,,,,,,,,,,,,,,,,,,
6/30/76,104.28,,,,,,,,,,,,,,,,,,,,,
7/30/76,103.44,,,,,,,,,,,,,,,,,,,,,
8/31/76,102.91,,,,,,,,,,,,,,,,,,,,,
9/30/76,105.24,,,,,,,,,,,,,,,,,,,,,
10/29/76,102.9,,,,,,,,,,,,,,,,,,,,,
11/30/76,102.1,,,,,,,,,,,,,,,,,,,,,
12/31/76,107.46,,,,,,,,,,,,,,,,,,,,,
1/31/77,102.03,,,,,,,,,,,,,,,,,,,,,
2/28/77,99.82,,,,,,,,,,,,,,,,,,,,,
3/31/77,98.42,,,,,,,,,,,,,,,,,,,,,
4/29/77,98.44,,,,,,,,,,,,,,,,,,,,,
5/31/77,96.12,,,,,,,,,,,,,,,,,,,,,
6/30/77,100.48,,,,,,,,,,,,,,,,,,,,,
7/29/77,98.85,,,,,,,,,,,,,,,,,,,,,
8/31/77,96.77,,,,,,,,,,,,,,,,,,,,,
9/30/77,96.53,,,,,,,,,,,,,,,,,,,,,
10/31/77,92.34,,,,,,,,,,,,,,,,,,,,,
11/30/77,94.83,,,,,,,,,,,,,,,,,,,,,
12/30/77,95.1,,,,,,,,,,,,,,,,,,,,,
1/31/78,89.25,,,,,,,,,,,,,,,,,,,,,
2/28/78,87.04,,,,,,,,,,,,,,,,,,,,,
3/31/78,89.21,,,,,,,,,,,,,,,,,,,,,
4/28/78,96.83,,,,,,,,,,,,,,,,,,,,,
5/31/78,97.29,,,,,,,,,,,,,,,,,,,,,
6/30/78,95.53,,,,,,,,,,,,,,,,,,,,,
7/31/78,100.68,,,,,,,,,,,,,,,,,,,,,
8/31/78,103.29,,,,,,,,,,,,,,,,,,,,,
9/29/78,102.54,,,,,,,,,,,,,,,,,,,,,
10/31/78,93.15,,,,,,,,,,,,,,,,,,,,,
11/30/78,94.7,,,,,,,,,,,,,,,,,,,,,
12/29/78,96.11,,,,,,,,,,,,,,,,,,,,,
1/31/79,99.93,,,,,,,,,,,,,,,,,,,,,
2/28/79,96.28,,,,,,,,,,,,,,,,,,,,,
3/30/79,101.59,,,,,,,,,,,,,,,,,,,,,
4/30/79,101.76,,,,,,,,,,,,,,,,,,,,,
5/31/79,99.08,,,,,,,,,,,,,,,,,,,,,
6/29/79,102.91,,,,,,,,,,,,,,,,,,,,,
7/31/79,103.81,,,,,,,,,,,,,,,,,,,,,
8/31/79,109.32,,,,,,,,,,,,,,,,,,,,,
9/28/79,109.32,,,,,,,,,,,,,,,,,,,,,
10/31/79,101.82,,,,,,,,,,,,,,,,,,,,,
11/30/79,106.16,,,,,,,,,,,,,,,,,,,,,
12/31/79,107.94,,,,,,,,,,,,,,,,,,,,,
1/31/80,114.16,,,,,,,,,,,,,,,,,,,,,
2/29/80,114.15,,,,,,,,,,,,,,,,,,,,,
3/31/80,103.0524,,,,,,,,,,,,,,,,,,,,,
4/30/80,107.8169,,,,,,,,,,,,,,,,,,,,,
5/30/80,113.3654,,,,,,,,,,,,,,,,,,,,,
6/30/80,116.9527,,,,,,,,,,,,,,,,,,,,,
7/31/80,125.0915,,,,,,,,,,,,,,,,,,,,,
8/29/80,126.3561,,,,,,,,,,,,,,,,,,,,,
9/30/80,130.073,,,,,,,,,,,,,,,,,,,,,
10/31/80,132.7064,,,,,,,,,,,,,,,,,,,,,
11/28/80,146.8443,,,,,,,,,,,,,,,,,,,,,
12/31/80,142.4134,,,,,,,,,,,,,,,,,,,,,
1/30/81,136.4551,,,,,,,,,,,,,,,,,,,,,
2/27/81,138.825,,,,,,,,,,,,,,,,,,,,,
3/31/81,144.3772,,,,,,,,,,,,,,,,,,,,,
4/30/81,141.5851,,,,,,,,,,,,,,,,,,,,,
5/29/81,141.9476,,,,,,,,,,,,,,,,,,,,,
6/30/81,141.059,,,,,,,,,,,,,,,,,,,,,
7/31/81,141.3493,,,,,,,,,,,,,,,,,,,,,
8/31/81,133.1871,,,,,,,,,,,,,,,,,,,,,
9/30/81,126.6248,,,,,,,,,,,,,,,,,,,,,
10/30/81,133.4585,,,,,,,,,,,,,,,,,,,,,
11/30/81,138.9659,,,,,,,,,,,,,,,,,,,,,
12/31/81,135.4024,,,,,,,,,,,,,,,,,,,,,
1/29/82,133.6346,,,,,,,,,,,,,,,,,,,,,
2/26/82,126.1648,,,,,,,,,,,,,,,,,,,,,
3/31/82,125.5067,,,,,,,,,,,,,,,,,,,,,
4/30/82,131.1789,,,,,,,,,,,,,,,,,,,,,
5/31/82,126.7064,,,,,,,,,,,,,,,,,,,,,
6/30/82,124.8038,,,,,,,,,,,,,,,,,,,,,
7/30/82,122.5835,,,,,,,,,,,,,,,,,,,,,
8/31/82,137.4643,,,,,,,,,,,,,,,,,,,,,
9/30/82,139.1781,,,,,,,,,,,,,,,,,,,,,
10/29/82,155.1971,,,,,,,,,,,,,,,,,,,,,
11/30/82,161.4649,,,,,,,,,,,,,,,,,,,,,
12/31/82,164.5767,,,,,,,,,,,,,,,,,,,,,
